"Timestamp","Q1. When making an important decision, you usually: ","Q2 :  When choosing between two options, you tend to: ","Q3 :  When you feel uncertain or confused, you: ","Q4 : When solving a problem, you usually:","Q5 :  When giving advice to someone, you: ","Q6 : In situations involving risk, you:","Q7 : When you need to decide quickly, you:","Q8 : Which best describes your overall decision-making style?"
"2026/04/12 12:27:06 pm GMT+5:30","Carefully analyze all details before deciding","Choose based on others’ suggestions","Use a mix of logic and intuition","Follow a structured, step-by-step approach","Speak based on emotions and feelings","Balance logic and emotions","Ask someone immediately","Logical Thinker"
"2026/04/12 12:27:30 pm GMT+5:30","Follow what feels right in the moment","Compare pros and cons in detail","Wait until things become clearer","Try different approaches randomly","Balance logic and emotions","Make decisions based on emotions","Try to stay logical even under pressure","Emotional Thinker"
"2026/04/12 12:27:52 pm GMT+5:30","Decide quickly without overthinking","Use both logic and intuition","Trust your gut feeling","Observe how others handle it","Provide logical reasoning","Follow others’ opinions","Use both logic and intuition","Balanced Thinker"
"2026/04/12 12:28:14 pm GMT+5:30","Seek opinions from others","Go with your instinct","Break the situation into smaller parts and analyze","Combine logical thinking and instinct","Avoid giving direct advice","Avoid taking risks","Go with your first instinct","Emotional Thinker"
"2026/04/12 12:28:34 pm GMT+5:30","Balance both logic and intuition","Pick the safest option","Ask someone for guidance","Act based on what feels right","Provide logical reasoning","Balance logic and emotions","Choose the safest option","Balanced Thinker"
"2026/04/12 12:29:01 pm GMT+5:30","Carefully analyze all details before deciding","Pick the safest option","Break the situation into smaller parts and analyze","Try different approaches randomly","Balance logic and emotions","Carefully evaluate all possible outcomes","Use both logic and intuition","Balanced Thinker"
"2026/04/12 12:29:31 pm GMT+5:30","Follow what feels right in the moment","Use both logic and intuition","Ask someone for guidance","Act based on what feels right","Avoid giving direct advice","Make decisions based on emotions","Use both logic and intuition","Logical Thinker"
"2026/04/12 12:29:56 pm GMT+5:30","Decide quickly without overthinking","Go with your instinct","Use a mix of logic and intuition","Follow a structured, step-by-step approach","Suggest what others have done","Follow others’ opinions","Go with your first instinct","Logical Thinker"
"2026/04/12 12:30:18 pm GMT+5:30","Seek opinions from others","Compare pros and cons in detail","Trust your gut feeling","Observe how others handle it","Balance logic and emotions","Avoid taking risks","Try to stay logical even under pressure","Emotional Thinker"
"2026/04/12 12:30:43 pm GMT+5:30","Balance both logic and intuition","Choose based on others’ suggestions","Wait until things become clearer","Combine logical thinking and instinct","Provide logical reasoning","Balance logic and emotions","Ask someone immediately","Balanced Thinker"
"2026/04/12 12:31:06 pm GMT+5:30","Carefully analyze all details before deciding","Go with your instinct","Use a mix of logic and intuition","Observe how others handle it","Provide logical reasoning","Make decisions based on emotions","Use both logic and intuition","Logical Thinker"
"2026/04/12 12:32:04 pm GMT+5:30","Follow what feels right in the moment","Pick the safest option","Break the situation into smaller parts and analyze","Try different approaches randomly","Balance logic and emotions","Make decisions based on emotions","Choose the safest option","Emotional Thinker"
"2026/04/12 12:32:24 pm GMT+5:30","Decide quickly without overthinking","Use both logic and intuition","Ask someone for guidance","Act based on what feels right","Provide logical reasoning","Follow others’ opinions","Use both logic and intuition","Logical Thinker"
"2026/04/12 12:32:48 pm GMT+5:30","Seek opinions from others","Go with your instinct","Wait until things become clearer","Follow a structured, step-by-step approach","Balance logic and emotions","Avoid taking risks","Go with your first instinct","Balanced Thinker"
"2026/04/12 12:33:12 pm GMT+5:30","Balance both logic and intuition","Compare pros and cons in detail","Trust your gut feeling","Combine logical thinking and instinct","Provide logical reasoning","Avoid taking risks","Choose the safest option","Emotional Thinker"
"2026/04/12 12:34:10 pm GMT+5:30","Decide quickly without overthinking","Use both logic and intuition","Break the situation into smaller parts and analyze","Act based on what feels right","Balance logic and emotions","Avoid taking risks","Use both logic and intuition","Balanced Thinker"
"2026/04/12 12:34:35 pm GMT+5:30","Carefully analyze all details before deciding","Use both logic and intuition","Wait until things become clearer","Follow a structured, step-by-step approach","Suggest what others have done","Carefully evaluate all possible outcomes","Use both logic and intuition","Logical Thinker"
"2026/04/12 12:34:55 pm GMT+5:30","Follow what feels right in the moment","Choose based on others’ suggestions","Break the situation into smaller parts and analyze","Observe how others handle it","Speak based on emotions and feelings","Make decisions based on emotions","Ask someone immediately","Emotional Thinker"
"2026/04/12 12:35:17 pm GMT+5:30","Decide quickly without overthinking","Compare pros and cons in detail","Use a mix of logic and intuition","Act based on what feels right","Avoid giving direct advice","Follow others’ opinions","Try to stay logical even under pressure","Logical Thinker"
"2026/04/12 12:35:40 pm GMT+5:30","Seek opinions from others","Pick the safest option","Trust your gut feeling","Try different approaches randomly","Provide logical reasoning","Avoid taking risks","Choose the safest option","Emotional Thinker"
"2026/04/12 12:36:02 pm GMT+5:30","Balance both logic and intuition","Go with your instinct","Ask someone for guidance","Combine logical thinking and instinct","Avoid giving direct advice","Balance logic and emotions","Go with your first instinct","Balanced Thinker"
"2026/04/12 12:36:49 pm GMT+5:30","Carefully analyze all details before deciding","Choose based on others’ suggestions","Trust your gut feeling","Follow a structured, step-by-step approach","Balance logic and emotions","Follow others’ opinions","Go with your first instinct","Balanced Thinker"
"2026/04/12 12:37:10 pm GMT+5:30","Follow what feels right in the moment","Compare pros and cons in detail","Use a mix of logic and intuition","Observe how others handle it","Suggest what others have done","Make decisions based on emotions","Try to stay logical even under pressure","Emotional Thinker"
"2026/04/12 12:37:32 pm GMT+5:30","Decide quickly without overthinking","Use both logic and intuition","Wait until things become clearer","Act based on what feels right","Provide logical reasoning","Follow others’ opinions","Use both logic and intuition","Logical Thinker"
"2026/04/12 12:37:54 pm GMT+5:30","Seek opinions from others","Go with your instinct","Break the situation into smaller parts and analyze","Combine logical thinking and instinct","Avoid giving direct advice","Avoid taking risks","Go with your first instinct","Emotional Thinker"
"2026/04/12 12:38:17 pm GMT+5:30","Balance both logic and intuition","Pick the safest option","Ask someone for guidance","Follow a structured, step-by-step approach","Speak based on emotions and feelings","Balance logic and emotions","Choose the safest option","Balanced Thinker"
"2026/04/12 12:38:54 pm GMT+5:30","Carefully analyze all details before deciding","Pick the safest option","Ask someone for guidance","Combine logical thinking and instinct","Provide logical reasoning","Carefully evaluate all possible outcomes","Try to stay logical even under pressure","Logical Thinker"
"2026/04/12 12:39:57 pm GMT+5:30","Follow what feels right in the moment","Use both logic and intuition","Trust your gut feeling","Try different approaches randomly","Avoid giving direct advice","Make decisions based on emotions","Use both logic and intuition","Emotional Thinker"
"2026/04/12 12:40:19 pm GMT+5:30","Decide quickly without overthinking","Go with your instinct","Break the situation into smaller parts and analyze","Observe how others handle it","Balance logic and emotions","Follow others’ opinions","Go with your first instinct","Logical Thinker"
"2026/04/12 12:40:45 pm GMT+5:30","Seek opinions from others","Compare pros and cons in detail","Use a mix of logic and intuition","Act based on what feels right","Suggest what others have done","Avoid taking risks","Try to stay logical even under pressure","Emotional Thinker"
"2026/04/12 12:41:11 pm GMT+5:30","Balance both logic and intuition","Choose based on others’ suggestions","Wait until things become clearer","Follow a structured, step-by-step approach","Speak based on emotions and feelings","Balance logic and emotions","Use both logic and intuition","Balanced Thinker"
"2026/04/12 12:42:12 pm GMT+5:30","Carefully analyze all details before deciding","Go with your instinct","Break the situation into smaller parts and analyze","Combine logical thinking and instinct","Avoid giving direct advice","Carefully evaluate all possible outcomes","Go with your first instinct","Logical Thinker"
"2026/04/12 12:43:09 pm GMT+5:30","Follow what feels right in the moment","Pick the safest option","Ask someone for guidance","Follow a structured, step-by-step approach","Balance logic and emotions","Make decisions based on emotions","Choose the safest option","Emotional Thinker"
"2026/04/12 12:43:30 pm GMT+5:30","Decide quickly without overthinking","Pick the safest option","Trust your gut feeling","Try different approaches randomly","Provide logical reasoning","Follow others’ opinions","Use both logic and intuition","Logical Thinker"
"2026/04/12 12:43:49 pm GMT+5:30","Seek opinions from others","Choose based on others’ suggestions","Break the situation into smaller parts and analyze","Observe how others handle it","Provide logical reasoning","Follow others’ opinions","Use both logic and intuition","Balanced Thinker"
"2026/04/12 12:44:16 pm GMT+5:30","Balance both logic and intuition","Compare pros and cons in detail","Ask someone for guidance","Act based on what feels right","Avoid giving direct advice","Balance logic and emotions","Try to stay logical even under pressure","Balanced Thinker"
"2026/04/12 12:44:46 pm GMT+5:30","Balance both logic and intuition","Use both logic and intuition","Trust your gut feeling","Follow a structured, step-by-step approach","Avoid giving direct advice","Balance logic and emotions","Try to stay logical even under pressure","Balanced Thinker"
"2026/04/12 12:45:19 pm GMT+5:30","Follow what feels right in the moment","Go with your instinct","Trust your gut feeling","Act based on what feels right","Speak based on emotions and feelings","Follow others’ opinions","Choose the safest option","Logical Thinker"
